,id,airline_iata,origin_iata,deprt_time,dest_iata,duration,prop,ac_type,capacity,distance,price_usd,regional,flight_path,city_pair,arrive_time,flight_legs,service_lvl,first_layover,second_layover,first_transfer_city,second_transfer_city
134,135,SM,CAI,2023-01-01 06:05:00,LXR,0 days 01:00:00,0,A320,150,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 07:05:00,[135],0,0 days 00:00:00,0 days 00:00:00,,
135,136,SM,CAI,2023-01-01 09:30:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 11:05:00,[136],0,0 days 00:00:00,0 days 00:00:00,,
136,137,SM,CAI,2023-01-01 09:30:00,LXR,0 days 01:00:00,0,E90,106,507,55,1,CAI -> LXR,CAI_LXR,2023-01-01 10:30:00,[137],0,0 days 00:00:00,0 days 00:00:00,,
137,138,SM,CAI,2023-01-01 09:50:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 11:25:00,[138],0,0 days 00:00:00,0 days 00:00:00,,
138,139,SM,CAI,2023-01-01 10:00:00,LXR,0 days 01:00:00,0,E90,106,507,55,1,CAI -> LXR,CAI_LXR,2023-01-01 11:00:00,[139],0,0 days 00:00:00,0 days 00:00:00,,
139,140,SM,CAI,2023-01-01 13:15:00,LXR,0 days 01:00:00,0,E90,106,507,55,1,CAI -> LXR,CAI_LXR,2023-01-01 14:15:00,[140],0,0 days 00:00:00,0 days 00:00:00,,
140,141,SM,CAI,2023-01-01 14:00:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 15:35:00,[141],0,0 days 00:00:00,0 days 00:00:00,,
141,142,SM,CAI,2023-01-01 14:00:00,LXR,0 days 01:00:00,0,E90,106,507,55,1,CAI -> LXR,CAI_LXR,2023-01-01 15:00:00,[142],0,0 days 00:00:00,0 days 00:00:00,,
142,143,SM,CAI,2023-01-01 14:20:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 15:55:00,[143],0,0 days 00:00:00,0 days 00:00:00,,
143,144,SM,CAI,2023-01-01 18:30:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 20:05:00,[144],0,0 days 00:00:00,0 days 00:00:00,,
144,145,SM,CAI,2023-01-01 18:50:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 20:25:00,[145],0,0 days 00:00:00,0 days 00:00:00,,
61,62,MS,CAI,2023-01-01 11:30:00,RMF,0 days 01:20:00,0,B738,162,596,55,0,CAI -> RMF,CAI_RMF,2023-01-01 12:50:00,[62],0,0 days 00:00:00,0 days 00:00:00,,
145,146,SM,CAI,2023-01-01 12:20:00,SPX,0 days 04:40:00,1,ATR,70,791,55,0,CAI -> SSH -> SPX,CAI_SPX,2023-01-01 17:00:00,"[146, 181]",2,0 days 02:10:00,0 days 00:00:00,SSH,
0,1,FT,CAI,2023-01-01 13:00:00,SSH,0 days 01:00:00,0,B738,162,376,100,0,CAI -> SSH,CAI_SSH,2023-01-01 14:00:00,[1],0,0 days 00:00:00,0 days 00:00:00,,
62,63,MS,CAI,2023-01-01 09:30:00,SSH,0 days 01:00:00,0,B738,162,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 10:30:00,[63],0,0 days 00:00:00,0 days 00:00:00,,
63,64,MS,CAI,2023-01-01 13:40:00,SSH,0 days 01:00:00,0,B738,162,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 14:40:00,[64],0,0 days 00:00:00,0 days 00:00:00,,
64,65,MS,CAI,2023-01-01 19:50:00,SSH,0 days 01:00:00,0,B738,162,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 20:50:00,[65],0,0 days 00:00:00,0 days 00:00:00,,
